ProductID,Name,Category,Price,Stock,VendorID
P0001,score RoyalBlue,Category 20,909.17,98,V43
P0002,friend White,Category 15,169.96,113,V32
P0003,assume SkyBlue,Category 17,888.45,964,V36
P0004,commercial Tan,Category 17,6.13,470,V13
P0005,southern MintCream,Category 7,347.66,598,V42
P0006,majority Coral,Category 12,380.11,80,V18
P0007,fear HoneyDew,Category 15,640.58,7,V20
P0008,business Lime,Category 8,306.14,771,V02
P0009,modern Cornsilk,Category 9,716.65,742,V49
P0010,fast DarkGoldenRod,Category 12,347.84,236,V23
P0011,baby Orchid,Category 1,27.48,564,V44
P0012,to Thistle,Category 2,875.31,799,V02
P0013,board White,Category 11,586.12,153,V26
P0014,hundred HotPink,Category 16,264.99,593,V26
P0015,visit OrangeRed,Category 6,869.52,640,V50
P0016,information Turquoise,Category 11,941.18,69,V36
P0017,although Turquoise,Category 11,863.93,807,V20
P0018,style Linen,Category 3,459.2,690,V25
P0019,really CornflowerBlue,Category 12,11.52,82,V36
P0020,line OldLace,Category 2,248.41,14,V22
P0021,responsibility Cyan,Category 17,413.57,851,V43
P0022,according MediumSlateBlue,Category 11,876.01,745,V32
P0023,act Purple,Category 13,419.41,256,V23
P0024,service CornflowerBlue,Category 7,207.38,484,V01
P0025,culture ForestGreen,Category 17,68.29,987,V47
P0026,foreign YellowGreen,Category 9,495.37,605,V22
P0027,goal MidnightBlue,Category 4,205.7,969,V23
P0028,appear Green,Category 10,493.36,440,V11
P0029,organization DarkTurquoise,Category 13,966.31,125,V31
P0030,themselves NavajoWhite,Category 14,330.99,125,V01
P0031,us DeepSkyBlue,Category 11,752.73,760,V06
P0032,order DeepSkyBlue,Category 3,112.52,919,V37
P0033,number ForestGreen,Category 9,530.65,198,V35
P0034,indeed WhiteSmoke,Category 17,871.3,759,V38
P0035,sister LightYellow,Category 8,390.21,299,V41
P0036,necessary Turquoise,Category 4,675.41,160,V38
P0037,source GoldenRod,Category 10,368.19,359,V24
P0038,successful MediumPurple,Category 16,399.82,987,V17
P0039,consumer SlateGray,Category 5,22.06,96,V45
P0040,owner Tomato,Category 13,810.24,183,V40
P0041,matter PeachPuff,Category 7,120.37,58,V30
P0042,here Aquamarine,Category 1,781.48,453,V40
P0043,describe IndianRed,Category 8,364.72,295,V19
P0044,artist YellowGreen,Category 7,776.99,857,V48
P0045,fact LightBlue,Category 17,962.94,361,V25
P0046,media Crimson,Category 1,456.09,346,V47
P0047,TV Beige,Category 16,210.93,807,V01
P0048,start Wheat,Category 18,636.14,479,V02
P0049,energy SteelBlue,Category 5,930.59,889,V46
P0050,true LawnGreen,Category 3,976.8,105,V17
P0051,team Chartreuse,Category 8,645.62,509,V19
P0052,receive OldLace,Category 19,593.58,864,V25
P0053,end PapayaWhip,Category 6,359.1,887,V46
P0054,son Wheat,Category 14,379.8,337,V22
P0055,play GhostWhite,Category 10,915.67,135,V22
P0056,writer WhiteSmoke,Category 11,443.03,154,V35
P0057,by PaleVioletRed,Category 6,739.09,746,V06
P0058,clearly GreenYellow,Category 9,95.77,315,V47
P0059,dog AntiqueWhite,Category 13,793.06,176,V28
P0060,cell Linen,Category 4,972.42,560,V32
P0061,report DarkMagenta,Category 18,869.64,797,V48
P0062,perhaps Brown,Category 18,272.5,514,V31
P0063,against OldLace,Category 17,312.6,453,V43
P0064,recently Fuchsia,Category 18,704.94,461,V04
P0065,six Yellow,Category 19,307.36,797,V01
P0066,factor Coral,Category 13,586.44,495,V43
P0067,a AntiqueWhite,Category 18,558.19,154,V17
P0068,woman MediumTurquoise,Category 16,632.12,450,V13
P0069,finish DodgerBlue,Category 11,830.19,493,V49
P0070,after OrangeRed,Category 5,814.51,442,V14
P0071,home LightSkyBlue,Category 18,723.79,248,V22
P0072,lawyer DeepSkyBlue,Category 6,496.43,614,V19
P0073,third Beige,Category 7,561.28,890,V09
P0074,drug Turquoise,Category 11,703.65,619,V33
P0075,onto Red,Category 19,778.9,753,V25
P0076,stop LightCoral,Category 10,114.9,123,V07
P0077,hour Plum,Category 7,587.91,210,V22
P0078,senior Aqua,Category 8,677.5,659,V32
P0079,into OldLace,Category 7,653.29,656,V05
